Category: Arts & Entertainment

Month,sad music: (Worldwide)
2012-02,50
2012-03,51
2012-04,50
2012-05,48
2012-06,46
2012-07,45
2012-08,49
2012-09,51
2012-10,50
2012-11,54
2012-12,55
2013-01,54
2013-02,55
2013-03,53
2013-04,52
2013-05,55
2013-06,53
2013-07,50
2013-08,53
2013-09,58
2013-10,58
2013-11,59
2013-12,58
2014-01,61
2014-02,58
2014-03,60
2014-04,63
2014-05,62
2014-06,56
2014-07,61
2014-08,65
2014-09,64
2014-10,66
2014-11,68
2014-12,68
2015-01,67
2015-02,70
2015-03,74
2015-04,72
2015-05,74
2015-06,66
2015-07,68
2015-08,69
2015-09,72
2015-10,73
2015-11,72
2015-12,77
2016-01,66
2016-02,73
2016-03,74
2016-04,75
2016-05,77
2016-06,67
2016-07,72
2016-08,68
2016-09,71
2016-10,78
2016-11,79
2016-12,86
2017-01,82
2017-02,84
2017-03,85
2017-04,85
2017-05,83
2017-06,72
2017-07,79
2017-08,73
2017-09,70
2017-10,70
2017-11,69
2017-12,70
2018-01,63
2018-02,68
2018-03,73
2018-04,78
2018-05,70
2018-06,100
2018-07,78
2018-08,74
2018-09,75
2018-10,75
2018-11,79
2018-12,71
2019-01,67
2019-02,71
2019-03,67
2019-04,62
2019-05,59
2019-06,56
2019-07,52
2019-08,53
2019-09,55
2019-10,57
2019-11,57
2019-12,53
2020-01,52
2020-02,55
2020-03,56
2020-04,65
2020-05,62
2020-06,55
2020-07,53
2020-08,54
2020-09,54
2020-10,52
2020-11,48
2020-12,52
2021-01,48
2021-02,49
2021-03,40
2021-04,44
2021-05,43
2021-06,42
2021-07,40
2021-08,41
2021-09,37
2021-10,40
2021-11,37
2021-12,40
2022-01,45
2022-02,45
2022-03,46
2022-04,47
2022-05,48
2022-06,45
2022-07,47
2022-08,40
2022-09,42
2022-10,44
2022-11,45
2022-12,45
2023-01,45
2023-02,48
2023-03,45
2023-04,44
2023-05,44
2023-06,43
2023-07,39
2023-08,40
2023-09,41
2023-10,39
2023-11,39
2023-12,41
2024-01,40
2024-02,39
