Month,happy music: (Worldwide)
Feb-12,52
Mar-12,52
Apr-12,47
May-12,50
Jun-12,48
Jul-12,42
Aug-12,42
Sep-12,47
Oct-12,46
Nov-12,47
Dec-12,53
Jan-13,45
Feb-13,45
Mar-13,46
Apr-13,45
May-13,45
Jun-13,42
Jul-13,40
Aug-13,41
Sep-13,43
Oct-13,41
Nov-13,50
Dec-13,62
Jan-14,70
Feb-14,80
Mar-14,100
Apr-14,95
May-14,92
Jun-14,75
Jul-14,68
Aug-14,69
Sep-14,70
Oct-14,69
Nov-14,80
Dec-14,68
Jan-15,55
Feb-15,60
Mar-15,62
Apr-15,60
May-15,59
Jun-15,53
Jul-15,52
Aug-15,51
Sep-15,56
Oct-15,56
Nov-15,59
Dec-15,62
Jan-16,55
Feb-16,56
Mar-16,54
Apr-16,55
May-16,56
Jun-16,49
Jul-16,46
Aug-16,50
Sep-16,53
Oct-16,51
Nov-16,55
Dec-16,54
Jan-17,51
Feb-17,53
Mar-17,55
Apr-17,51
May-17,51
Jun-17,48
Jul-17,45
Aug-17,45
Sep-17,51
Oct-17,55
Nov-17,52
Dec-17,54
Jan-18,49
Feb-18,50
Mar-18,50
Apr-18,48
May-18,49
Jun-18,45
Jul-18,42
Aug-18,46
Sep-18,50
Oct-18,50
Nov-18,52
Dec-18,52
Jan-19,48
Feb-19,49
Mar-19,47
Apr-19,46
May-19,44
Jun-19,43
Jul-19,38
Aug-19,43
Sep-19,46
Oct-19,43
Nov-19,43
Dec-19,43
Jan-20,44
Feb-20,42
Mar-20,49
Apr-20,57
May-20,54
Jun-20,48
Jul-20,58
Aug-20,48
Sep-20,53
Oct-20,43
Nov-20,41
Dec-20,41
Jan-21,39
Feb-21,40
Mar-21,37
Apr-21,37
May-21,39
Jun-21,36
Jul-21,35
Aug-21,35
Sep-21,36
Oct-21,36
Nov-21,36
Dec-21,36
Jan-22,39
Feb-22,38
Mar-22,37
Apr-22,39
May-22,39
Jun-22,37
Jul-22,35
Aug-22,35
Sep-22,38
Oct-22,37
Nov-22,36
Dec-22,37
Jan-23,37
Feb-23,40
Mar-23,64
Apr-23,42
May-23,35
Jun-23,34
Jul-23,32
Aug-23,33
Sep-23,34
Oct-23,33
Nov-23,35
Dec-23,35
Jan-24,33
Feb-24,34
