Category: Arts & Entertainment

Month,sad music: (Worldwide)
2012-02,51
2012-03,52
2012-04,51
2012-05,49
2012-06,47
2012-07,46
2012-08,50
2012-09,52
2012-10,51
2012-11,56
2012-12,56
2013-01,55
2013-02,56
2013-03,54
2013-04,53
2013-05,56
2013-06,54
2013-07,51
2013-08,54
2013-09,59
2013-10,59
2013-11,61
2013-12,59
2014-01,62
2014-02,59
2014-03,61
2014-04,65
2014-05,63
2014-06,58
2014-07,62
2014-08,67
2014-09,65
2014-10,67
2014-11,70
2014-12,69
2015-01,68
2015-02,71
2015-03,75
2015-04,74
2015-05,75
2015-06,68
2015-07,70
2015-08,70
2015-09,74
2015-10,75
2015-11,73
2015-12,78
2016-01,67
2016-02,75
2016-03,76
2016-04,76
2016-05,79
2016-06,69
2016-07,74
2016-08,70
2016-09,72
2016-10,80
2016-11,80
2016-12,88
2017-01,83
2017-02,85
2017-03,87
2017-04,86
2017-05,85
2017-06,73
2017-07,80
2017-08,75
2017-09,72
2017-10,72
2017-11,70
2017-12,71
2018-01,64
2018-02,70
2018-03,74
2018-04,79
2018-05,71
2018-06,100
2018-07,79
2018-08,75
2018-09,76
2018-10,76
2018-11,80
2018-12,73
2019-01,68
2019-02,72
2019-03,68
2019-04,63
2019-05,61
2019-06,58
2019-07,53
2019-08,54
2019-09,56
2019-10,58
2019-11,58
2019-12,55
2020-01,53
2020-02,56
2020-03,57
2020-04,67
2020-05,64
2020-06,56
2020-07,54
2020-08,55
2020-09,55
2020-10,53
2020-11,48
2020-12,53
2021-01,49
2021-02,50
2021-03,41
2021-04,45
2021-05,44
2021-06,43
2021-07,41
2021-08,42
2021-09,38
2021-10,41
2021-11,38
2021-12,40
2022-01,45
2022-02,46
2022-03,47
2022-04,48
2022-05,49
2022-06,46
2022-07,48
2022-08,41
2022-09,43
2022-10,45
2022-11,46
2022-12,46
2023-01,46
2023-02,49
2023-03,46
2023-04,45
2023-05,45
2023-06,44
2023-07,40
2023-08,40
2023-09,42
2023-10,39
2023-11,40
2023-12,42
2024-01,41
2024-02,40
