Month,Shake it Off: (Worldwide)
Jan-04,0
Feb-04,<1
Mar-04,0
Apr-04,<1
May-04,<1
Jun-04,0
Jul-04,0
Aug-04,0
Sep-04,<1
Oct-04,<1
Nov-04,<1
Dec-04,0
Jan-05,0
Feb-05,<1
Mar-05,<1
Apr-05,1
May-05,1
Jun-05,2
Jul-05,9
Aug-05,31
Sep-05,28
Oct-05,18
Nov-05,9
Dec-05,6
Jan-06,4
Feb-06,3
Mar-06,2
Apr-06,2
May-06,2
Jun-06,2
Jul-06,1
Aug-06,1
Sep-06,1
Oct-06,1
Nov-06,1
Dec-06,1
Jan-07,1
Feb-07,1
Mar-07,1
Apr-07,1
May-07,1
Jun-07,1
Jul-07,1
Aug-07,1
Sep-07,1
Oct-07,1
Nov-07,1
Dec-07,1
Jan-08,1
Feb-08,1
Mar-08,1
Apr-08,1
May-08,1
Jun-08,1
Jul-08,1
Aug-08,1
Sep-08,<1
Oct-08,1
Nov-08,1
Dec-08,1
Jan-09,1
Feb-09,1
Mar-09,<1
Apr-09,1
May-09,<1
Jun-09,<1
Jul-09,1
Aug-09,1
Sep-09,<1
Oct-09,<1
Nov-09,<1
Dec-09,<1
Jan-10,1
Feb-10,<1
Mar-10,<1
Apr-10,<1
May-10,<1
Jun-10,<1
Jul-10,<1
Aug-10,<1
Sep-10,<1
Oct-10,<1
Nov-10,<1
Dec-10,1
Jan-11,<1
Feb-11,<1
Mar-11,<1
Apr-11,<1
May-11,<1
Jun-11,<1
Jul-11,<1
Aug-11,<1
Sep-11,<1
Oct-11,1
Nov-11,1
Dec-11,1
Jan-12,1
Feb-12,1
Mar-12,1
Apr-12,1
May-12,1
Jun-12,1
Jul-12,1
Aug-12,1
Sep-12,1
Oct-12,1
Nov-12,1
Dec-12,1
Jan-13,1
Feb-13,1
Mar-13,1
Apr-13,1
May-13,1
Jun-13,1
Jul-13,<1
Aug-13,1
Sep-13,<1
Oct-13,<1
Nov-13,<1
Dec-13,<1
Jan-14,<1
Feb-14,<1
Mar-14,<1
Apr-14,<1
May-14,<1
Jun-14,<1
Jul-14,<1
Aug-14,93
Sep-14,100
Oct-14,88
Nov-14,96
Dec-14,74
Jan-15,75
Feb-15,61
Mar-15,43
Apr-15,46
May-15,43
Jun-15,34
Jul-15,29
Aug-15,27
Sep-15,23
Oct-15,20
Nov-15,20
Dec-15,16
Jan-16,14
Feb-16,12
Mar-16,11
Apr-16,11
May-16,11
Jun-16,10
Jul-16,10
Aug-16,8
Sep-16,7
Oct-16,7
Nov-16,8
Dec-16,9
Jan-17,10
Feb-17,9
Mar-17,10
Apr-17,11
May-17,10
Jun-17,9
Jul-17,9
Aug-17,9
Sep-17,9
Oct-17,7
Nov-17,6
Dec-17,6
Jan-18,7
Feb-18,6
Mar-18,6
Apr-18,5
May-18,6
Jun-18,5
Jul-18,6
Aug-18,5
Sep-18,5
Oct-18,5
Nov-18,5
Dec-18,4
Jan-19,5
Feb-19,4
Mar-19,4
Apr-19,4
May-19,4
Jun-19,4
Jul-19,4
Aug-19,4
Sep-19,4
Oct-19,3
Nov-19,4
Dec-19,4
Jan-20,4
Feb-20,4
Mar-20,3
Apr-20,4
May-20,3
Jun-20,3
Jul-20,3
Aug-20,3
Sep-20,2
Oct-20,2
Nov-20,2
Dec-20,2
Jan-21,3
Feb-21,2
Mar-21,2
Apr-21,2
May-21,2
Jun-21,2
Jul-21,2
Aug-21,2
Sep-21,2
Oct-21,2
Nov-21,2
Dec-21,2
Jan-22,2
Feb-22,2
Mar-22,1
Apr-22,1
May-22,1
Jun-22,1
Jul-22,1
Aug-22,<1
Sep-22,<1
Oct-22,<1
Nov-22,<1
Dec-22,<1
Jan-23,<1
Feb-23,1
Mar-23,<1
Apr-23,<1
May-23,<1
Jun-23,<1
Jul-23,<1
Aug-23,<1
Sep-23,<1
Oct-23,<1
Nov-23,<1
Dec-23,<1
Jan-24,<1
Feb-24,1
